operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,operator_rank_by_missed_calls,cumulative_missed_calls,cumulative_missed_share
937860,224,36,1944,30,5,0.022321428571428572,8.678571428571429,0.005399568034557235,7,False,True,47,595,0.642548596112311
930020,85,29,703,24,5,0.058823529411764705,8.270588235294118,0.005399568034557235,8,False,True,48,600,0.6479481641468683
918978,744,44,7345,41,4,0.005376344086021506,9.87231182795699,0.004319654427645789,10,False,True,49,604,0.652267818574514
882684,613,50,9526,46,4,0.0065252854812398045,15.539967373572594,0.004319654427645789,11,False,True,50,608,0.6565874730021598
939706,519,33,4780,29,4,0.007707129094412331,9.210019267822736,0.004319654427645789,7,False,True,51,612,0.6609071274298056
939370,482,44,9133,40,4,0.008298755186721992,18.948132780082986,0.004319654427645789,7,False,True,52,616,0.6652267818574514
890406,425,74,4021,70,4,0.009411764705882352,9.461176470588235,0.004319654427645789,15,False,True,53,620,0.6695464362850972
921306,398,47,8417,43,4,0.010050251256281407,21.14824120603015,0.004319654427645789,10,False,True,54,624,0.673866090712743
906408,241,28,6912,24,4,0.016597510373443983,28.680497925311204,0.004319654427645789,6,False,True,55,628,0.6781857451403888
920728,201,37,3255,34,4,0.01990049751243781,16.19402985074627,0.004319654427645789,9,False,True,56,632,0.6825053995680346
900354,142,47,2420,44,4,0.028169014084507043,17.04225352112676,0.004319654427645789,12,False,True,57,636,0.6868250539956804
945046,60,13,1065,9,4,0.06666666666666667,17.75,0.004319654427645789,2,False,True,58,640,0.6911447084233261
921814,42,5,283,4,4,0.09523809523809523,6.738095238095238,0.004319654427645789,2,False,True,59,644,0.6954643628509719
884408,35,14,924,10,4,0.11428571428571428,26.4,0.004319654427645789,5,True,True,60,648,0.6997840172786177
937368,22,13,531,11,4,0.18181818181818182,24.136363636363637,0.004319654427645789,4,True,False,61,652,0.7041036717062635
908958,952,94,26062,78,3,0.0031512605042016808,27.376050420168067,0.0032397408207343412,12,False,True,62,655,0.7073434125269978
906406,715,46,19143,42,3,0.004195804195804196,26.773426573426573,0.0032397408207343412,9,False,True,63,658,0.7105831533477321
919164,648,14,4023,9,3,0.004629629629629629,6.208333333333333,0.0032397408207343412,3,False,True,64,661,0.7138228941684666
954650,462,21,4809,19,3,0.006493506493506494,10.409090909090908,0.0032397408207343412,4,False,True,65,664,0.7170626349892009
887276,431,69,12159,66,3,0.0069605568445475635,28.211136890951277,0.0032397408207343412,14,False,True,66,667,0.7203023758099352
916424,404,35,4160,32,3,0.007425742574257425,10.297029702970297,0.0032397408207343412,6,False,True,67,670,0.7235421166306696
911310,401,55,5504,53,3,0.007481296758104738,13.72568578553616,0.0032397408207343412,10,False,True,68,673,0.7267818574514039
893402,338,82,5555,73,3,0.008875739644970414,16.43491124260355,0.0032397408207343412,14,False,True,69,676,0.7300215982721382
900892,329,87,2233,74,3,0.00911854103343465,6.787234042553192,0.0032397408207343412,14,False,True,70,679,0.7332613390928726
911138,289,56,5690,54,3,0.010380622837370242,19.688581314878892,0.0032397408207343412,12,False,True,71,682,0.7365010799136069
903318,281,57,2573,54,3,0.010676156583629894,9.15658362989324,0.0032397408207343412,11,False,True,72,685,0.7397408207343412
940442,196,27,134,25,3,0.015306122448979591,0.6836734693877551,0.0032397408207343412,6,False,True,73,688,0.7429805615550756
915556,185,61,1218,58,3,0.016216216216216217,6.583783783783784,0.0032397408207343412,11,False,True,74,691,0.7462203023758099
900352,183,57,3147,56,3,0.01639344262295082,17.19672131147541,0.0032397408207343412,14,False,True,75,694,0.7494600431965442
912296,173,47,2001,44,3,0.017341040462427744,11.566473988439306,0.0032397408207343412,10,False,True,76,697,0.7526997840172787
940614,145,11,471,7,3,0.020689655172413793,3.2482758620689656,0.0032397408207343412,4,False,True,77,700,0.755939524838013
906400,130,40,3752,36,3,0.023076923076923078,28.861538461538462,0.0032397408207343412,8,False,True,78,703,0.7591792656587473
906396,124,34,3777,30,3,0.024193548387096774,30.45967741935484,0.0032397408207343412,9,False,True,79,706,0.7624190064794817
905542,117,50,2155,47,3,0.02564102564102564,18.418803418803417,0.0032397408207343412,12,False,True,80,709,0.765658747300216
937962,106,37,1832,30,3,0.02830188679245283,17.28301886792453,0.0032397408207343412,7,False,True,81,712,0.7688984881209503
958460,103,16,5114,13,3,0.02912621359223301,49.650485436893206,0.0032397408207343412,3,False,True,82,715,0.7721382289416847
882680,99,43,1591,40,3,0.030303030303030304,16.07070707070707,0.0032397408207343412,16,False,True,83,718,0.775377969762419
895574,96,47,1456,46,3,0.03125,15.166666666666666,0.0032397408207343412,14,False,True,84,721,0.7786177105831533
964666,43,9,578,6,3,0.06976744186046512,13.44186046511628,0.0032397408207343412,2,False,True,85,724,0.7818574514038877
947304,35,18,208,15,3,0.08571428571428572,5.942857142857143,0.0032397408207343412,5,False,True,86,727,0.785097192224622
911102,27,20,822,18,3,0.1111111111111111,30.444444444444443,0.0032397408207343412,10,True,False,87,730,0.7883369330453563
926872,24,13,19,12,3,0.125,0.7916666666666666,0.0032397408207343412,6,True,False,88,733,0.7915766738660908
904344,4,2,55,1,3,0.75,13.75,0.0032397408207343412,1,True,False,89,736,0.7948164146868251
923526,901,63,7000,60,2,0.0022197558268590455,7.769145394006659,0.0021598272138228943,9,False,True,90,738,0.796976241900648
913788,793,66,12673,64,2,0.0025220680958385876,15.98108448928121,0.0021598272138228943,10,False,True,91,740,0.7991360691144709
891410,660,70,8713,68,2,0.0030303030303030303,13.201515151515151,0.0021598272138228943,15,False,True,92,742,0.8012958963282938
890404,516,77,5561,73,2,0.003875968992248062,10.777131782945736,0.0021598272138228943,15,False,True,93,744,0.8034557235421166
889754,480,72,3807,70,2,0.004166666666666667,7.93125,0.0021598272138228943,16,False,True,94,746,0.8056155507559395
904038,462,78,4107,76,2,0.004329004329004329,8.88961038961039,0.0021598272138228943,12,False,True,95,748,0.8077753779697624
944764,355,21,2473,19,2,0.005633802816901409,6.966197183098592,0.0021598272138228943,6,False,True,96,750,0.8099352051835853
906070,324,15,13347,13,2,0.006172839506172839,41.19444444444444,0.0021598272138228943,5,False,True,97,752,0.8120950323974082
937736,284,34,3724,29,2,0.007042253521126761,13.112676056338028,0.0021598272138228943,7,False,True,98,754,0.8142548596112311
905538,244,54,4294,52,2,0.00819672131147541,17.598360655737704,0.0021598272138228943,13,False,True,99,756,0.816414686825054
937966,243,32,2046,28,2,0.00823045267489712,8.419753086419753,0.0021598272138228943,7,False,True,100,758,0.8185745140388769
907502,242,60,4855,58,2,0.008264462809917356,20.06198347107438,0.0021598272138228943,9,False,True,101,760,0.8207343412526998
937960,204,47,2254,41,2,0.00980392156862745,11.049019607843137,0.0021598272138228943,7,False,True,102,762,0.8228941684665226
906680,195,57,7227,52,2,0.010256410256410256,37.06153846153846,0.0021598272138228943,10,False,True,103,764,0.8250539956803455
920852,192,40,2083,38,2,0.010416666666666666,10.848958333333334,0.0021598272138228943,7,False,True,104,766,0.8272138228941684
896536,182,67,3783,62,2,0.01098901098901099,20.785714285714285,0.0021598272138228943,14,False,True,105,768,0.8293736501079914
882690,171,22,7102,20,2,0.011695906432748537,41.53216374269006,0.0021598272138228943,6,False,True,106,770,0.8315334773218143
937780,160,36,1767,29,2,0.0125,11.04375,0.0021598272138228943,7,False,True,107,772,0.8336933045356372
912010,144,52,2597,49,2,0.013888888888888888,18.03472222222222,0.0021598272138228943,11,False,True,108,774,0.8358531317494601
903312,127,52,2229,49,2,0.015748031496062992,17.551181102362204,0.0021598272138228943,12,False,True,109,776,0.838012958963283
934534,127,38,2350,36,2,0.015748031496062992,18.503937007874015,0.0021598272138228943,7,False,True,110,778,0.8401727861771058
902510,122,26,4107,24,2,0.01639344262295082,33.66393442622951,0.0021598272138228943,10,False,True,111,780,0.8423326133909287
923528,119,48,2877,46,2,0.01680672268907563,24.176470588235293,0.0021598272138228943,9,False,True,112,782,0.8444924406047516
937732,116,34,2046,30,2,0.017241379310344827,17.637931034482758,0.0021598272138228943,7,False,True,113,784,0.8466522678185745
938414,93,9,2147,7,2,0.021505376344086023,23.086021505376344,0.0021598272138228943,2,False,True,114,786,0.8488120950323974
911140,70,33,1840,32,2,0.02857142857142857,26.285714285714285,0.0021598272138228943,10,False,True,115,788,0.8509719222462203
888534,61,36,1756,32,2,0.03278688524590164,28.78688524590164,0.0021598272138228943,11,False,True,116,790,0.8531317494600432
945052,59,9,746,8,2,0.03389830508474576,12.64406779661017,0.0021598272138228943,2,False,True,117,792,0.8552915766738661
900194,55,36,1179,36,2,0.03636363636363636,21.436363636363637,0.0021598272138228943,14,False,True,118,794,0.857451403887689
907952,51,36,1047,34,2,0.0392156862745098,20.529411764705884,0.0021598272138228943,11,False,True,119,796,0.8596112311015118
904016,50,26,926,24,2,0.04,18.52,0.0021598272138228943,10,False,True,120,798,0.8617710583153347
899268,31,24,644,24,2,0.06451612903225806,20.774193548387096,0.0021598272138228943,13,False,True,121,800,0.8639308855291576
900746,26,11,611,10,2,0.07692307692307693,23.5,0.0021598272138228943,5,False,False,122,802,0.8660907127429806
911142,20,14,923,13,2,0.1,46.15,0.0021598272138228943,8,False,False,123,804,0.8682505399568035
964510,15,6,150,5,2,0.13333333333333333,10.0,0.0021598272138228943,2,True,False,124,806,0.8704103671706264
888532,12,9,289,9,2,0.16666666666666666,24.083333333333332,0.0021598272138228943,5,True,False,125,808,0.8725701943844493
937898,9,2,68,1,2,0.2222222222222222,7.555555555555555,0.0021598272138228943,1,True,False,126,810,0.8747300215982722
910226,8,8,132,8,2,0.25,16.5,0.0021598272138228943,5,True,False,127,812,0.8768898488120951
924936,8,6,154,6,2,0.25,19.25,0.0021598272138228943,4,True,False,128,814,0.8790496760259179
934098,6,5,159,4,2,0.3333333333333333,26.5,0.0021598272138228943,4,True,False,129,816,0.8812095032397408
919794,1136,32,32236,31,1,0.0008802816901408451,28.37676056338028,0.0010799136069114472,9,False,True,130,817,0.8822894168466523
919552,1089,66,37076,63,1,0.0009182736455463728,34.045913682277316,0.0010799136069114472,10,False,True,131,818,0.8833693304535637
919792,750,57,22642,56,1,0.0013333333333333333,30.189333333333334,0.0010799136069114472,10,False,True,132,819,0.8844492440604752
899082,655,69,13463,68,1,0.0015267175572519084,20.554198473282444,0.0010799136069114472,12,False,True,133,820,0.8855291576673866
901884,566,95,7676,85,1,0.0017667844522968198,13.56183745583039,0.0010799136069114472,13,False,True,134,821,0.8866090712742981
891414,503,59,5923,58,1,0.0019880715705765406,11.77534791252485,0.0010799136069114472,14,False,True,135,822,0.8876889848812095
917852,375,47,7134,46,1,0.0026666666666666666,19.024,0.0010799136069114472,10,False,True,136,823,0.8887688984881209
928888,314,35,2524,34,1,0.0031847133757961785,8.038216560509554,0.0010799136069114472,8,False,True,137,824,0.8898488120950324
906294,308,50,1455,48,1,0.003246753246753247,4.724025974025974,0.0010799136069114472,11,False,True,138,825,0.8909287257019438
937760,292,35,3411,30,1,0.003424657534246575,11.681506849315069,0.0010799136069114472,7,False,True,139,826,0.8920086393088553
939376,261,30,3707,29,1,0.0038314176245210726,14.203065134099617,0.0010799136069114472,7,False,True,140,827,0.8930885529157667
937902,247,30,2921,28,1,0.004048582995951417,11.82591093117409,0.0010799136069114472,7,False,True,141,828,0.8941684665226782
896012,244,62,1471,61,1,0.004098360655737705,6.028688524590164,0.0010799136069114472,14,False,True,142,829,0.8952483801295896
902532,239,34,4070,33,1,0.0041841004184100415,17.02928870292887,0.0010799136069114472,11,False,True,143,830,0.896328293736501
954750,223,18,4878,17,1,0.004484304932735426,21.87443946188341,0.0010799136069114472,3,False,True,144,831,0.8974082073434125
944646,219,24,2055,23,1,0.0045662100456621,9.383561643835616,0.0010799136069114472,5,False,True,145,832,0.8984881209503239
911136,211,46,4230,45,1,0.004739336492890996,20.04739336492891,0.0010799136069114472,12,False,True,146,833,0.8995680345572354
893420,206,51,4221,48,1,0.0048543689320388345,20.490291262135923,0.0010799136069114472,12,False,True,147,834,0.9006479481641468
